name,phone,email,service,contact
TENNANT SALES & SERVICE CO,800-553-8033,None,HK walk behind machines repairs,None
THYSSEN KRUPP ELEVATOR CORP,678 424-5643,chad.evans@tkelevator.com;colleen.pawiak@tkelevator.com;brett.stopper@tkelevator.com;matthew.gentile@tkelevator.com;EastAR@tkelevator.com,tk elevator,TK elevator
ULINE,800-295-5510,None,parts and supplies,buyer will contact the vendor orders
UNITED ELECTRIC SUPPLY CO INC,2157412679,rhutchinson@unitedelectric.com,electric supply parts,Email Rob after quotes get approved
VEOLIA ENVIRON SVCS,800-423-2382,robert.woolslager@veolia.com,Batteries recycle,None
WALTER A DWYER INC,215-248-4300,cpeter@dwyeroil.com,Fuel,Chris
WIRELESS ELECTRONICS INC,856-768-4310,accounting@wirelessce.com; rmcdonald@wirelessce.com,Walkie talkies,Walkie talkies
WYATT ELEVATOR COMPANY,610-237-6600,kari.mackley@wyattelevator.com,ELEVATOR #3,None
FERGUSON & MCCANN INC,,,,
UNION ELECTRIC CONTRACTING CO,,Dwsmith@uecco.net; Jlmelnick@uecco.net ,electric,Martin Shield
HILTI INC.,,us-sales@hilti.com,,
JOHN S MCMANUS INC,610-558-1199,spm@jsmcmanus.com,Constraction,Sean Mcmanus 
Jersey Infrared Consultants,609-300-6934,beth@jerseyir.com,Infrared Electrical System Survey,Beth
REMAR TECHNOLOGIES, Phoenix Office: (615) 823-3186 Cell: (602) 402-2815,dhorton@remartg.com,TV,Daniel Horton
STAPLES,,,,
ICP MEDICAL LLC,314-429-1000,jim.stewart@teamtech.com,ER Privacy curtains ,
FOLLETT PRODUCTS,877-612-5086,partsales@follettice.com,,
MAINTAIN IT ALL,,,,
PAUL J GRECO JR,,bgben2754@gmail.com,,
CONVERGINT,,,,
MED PAT INN-PHONE,800-626-0410,dulce.acre@Med-Pat.com,Phones (Patients),Dulce Acre
EVERBRIDGE INC,818-230-9786,,Mass Notification,
STRYKER MEDICAL,,,Medical Beds,
